Data-zigilua,Zein Gelako Aldratakoa zara?,LHn zein herritan ikasi duzu? ,LHn zein urtetan amaitu duzu? ,Zein eskolatan ikasi duzu,LHn zein eredutan hasi zinen ikasten?,Batxilergoan zein eredutan amaitu zenuen  ikasten?,"Eredua aldatu baduzu, noiz eta zergatik",Hizkuntzen ezagutza zertifikatua [Euskara],Hizkuntzen ezagutza zertifikatua [Gaztelania],Hizkuntzen ezagutza zertifikatua [Ingelesa],Hizkuntzen ezagutza zertifikatua [Beste],"Besteren bat markatu baduzu, zein eta zein mailatan",Hizkuntzak non erabiltzen dituzun [Euskara],Hizkuntzak non erabiltzen dituzun [Gaztelania],Hizkuntzak non erabiltzen dituzun [Ingelesa],Hizkuntzak non erabiltzen dituzun [Beste],Zertarako gai naizen [Euskara],Zertarako gai naizen [Gaztelania],Zertarako gai naizen [Ingelesa],Zertarako gai naizen [Beste],"Besteren bat markatu baduzu, zein hizkuntzatan zertarako zara gai?",Jakin beharreko besterik?
2018/11/09 9:10:23 AM CET,LH,Trapagaran,,Itxaropena Ikastola ,D,D,,Ez dut,Ez dut,B2,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Lanean,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/11/09 9:11:41 AM CET,LH,Portugaleten,,Asti Leku ikastolan,D,D,,B2,Ez dut,B2,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2018/11/09 9:11:58 AM CET,LH,Usansolon,,Unkinan,D,D,,B2,Ez dut,B1;Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2018/11/09 9:12:23 AM CET,LH,Izarra,,Izarra Herri Eskola,D,D,,C1,Ez dut,B2,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2018/11/09 9:12:27 AM CET,LH,Ondarroan,,Txomin Agirre Ikastolan,D,D,,C1,Ez dut,A2,B1,Frantsesa,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ikasketetan,Ikasketetan,Ikasketetan,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,"Frantsesez irakurtzeko, idazteko, aurkezpenak egiteko eta eztabaidatzeko gai naiz.",
2018/11/09 9:12:32 AM CET,LH,Portugalete,,Asti-leku ikastola,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2018/11/09 9:13:26 AM CET,LH,Algorta (Getxo),,Zubileta eskola,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2018/11/09 9:13:31 AM CET,LH,Basauri,,José Etxegarai LHI,D,D,,Ez dut,Ez dut,C1,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/11/09 9:13:32 AM CET,LH,Algorta,,San Nikolas ikastola,D,D,,Ez dut,Ez dut,B2,Ez dut,,Familian;Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2018/11/09 9:13:44 AM CET,LH,Portugaleten,,Maestro Zubeldia eskolan,D,D,,Ez dut,Ez dut,Ez dut,A1;A2,Zeinu hizkuntza,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ez dut erabiltzen,Ikasketetako lagunekin,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Aurkezpena egin;Eztabaidatu,Zeinu hizkuntza,
2018/11/09 9:13:46 AM CET,LH,Barakaldon,,Gurutzetako salestarretan,B,A,Unibertsitatera ailegatzean. ,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2018/11/09 9:13:50 AM CET,LH,Amorebieta-Euba,,Lauaxeta Ikastolan,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan;Lanean,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/11/09 9:13:55 AM CET,LH,Trapagaran,,Itxaropena Ikastola ,D,D,,Ez dut,Ez dut,B2,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Lanean,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/11/09 9:13:57 AM CET,LH,Barakaldon,,LH Nuestra Señora del Rosarion DBH IES Gurutzetan,B,D,DBH-ko bigarren mailan eskolaz aldatzean.,Ez dut,Ez dut,B2,Ez dut,,Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin;Lanean,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2018/11/09 9:14:42 AM CET,LH,Portugalete,,Kanpazar eskola publikoan,D,D,,C1,Ez dut,C1,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin,Lanean,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/11/09 9:15:38 AM CET,HH,Elantxoben 5.mailararte gero Gernikan,,elantxobeko eskola unitarioa eta barrutia ikastetxea,D,D,ez,Ez dut,Ez dut,Ez dut,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Lanean,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2018/11/09 9:15:55 AM CET,LH,Deustun,,Deustuko Ikastolan,D,D,,C1,Ez dut,Ez dut,Ez dut,,Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2018/11/09 9:15:58 AM CET,LH,Bilbo,,Urretxindorra Ikastola,D,D,,B2,Ez dut,B1,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2018/11/09 9:17:19 AM CET,LH,Lekeition,,Lekeitioko Eskola Publikoan,D,D,,C1,Ez dut,B1,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ez dut erabiltzen,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2018/11/09 9:18:49 AM CET,HH,Derio,,Bizkaia Ikastetxea,B,B,,B1,Ez dut,Ez dut,Ez dut,,Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi,Ez dagokio,,Laborategiko teknikariaren ikasketak egin nituen hau egin baino lehen.
2018/11/09 9:19:17 AM CET,HH,Zornotzan,,Karmengo Ama Ikastetxean ,D,D,,B2,Ez dut,Ez dut,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ez dut erabiltzen,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,Ez dagokio,Ez dagokio,,
2018/11/09 9:20:47 AM CET,HH,Bermeo,,Eleizalde Tar Luis Ikastola,D,D,,B1,B1,A2,A2,Frantzesa A2,Familian;Herriko / auzoko lagunekin;Ikasketetan,Ikasketetan,Ikasketetan,Ikasketetan,Irakurri;Idatzi;Aurkezpena egin,Irakurri,Irakurri,Irakurri,Fratzesa irakurtzen,
2018/11/09 9:21:18 AM CET,HH,Leioa,,Askartza,D,D,"Batxilergo artistikoa egin nuen, Arte Ederrak egiteko, baina Haur Hezkuntza ikasteko nahiak nituenez, HH ikasten ari naiz.",B1,B1,B1,A1,,Familian;Ikasketetan,Familian;Herriko / auzoko lagunekin,Ikasketetan,Familian,Irakurri;Idatzi;Aurkezpena egin,Irakurri;Idatzi;Aurkezpena egin,Irakurri;Idatzi,Irakurri,Italiera gustoko dut. ,
2018/11/09 9:22:00 AM CET,HH,Barakaldo,,Gurutzeta,D,D,,A2,B1,A1,A1;A2,"Frantsetza , oinarrizkoa. Latina, oinarrizkoa",Ikasketetan,Familian;Herriko / auzoko lagunekin,Ikasketetan,Ikasketetan,Irakurri;Idatzi;Aurkezpena egin,Irakurri;Idatzi;Aurkezpena egin,Irakurri,Irakurri,Frantsetza irakurtzean zerbait ulertzen dut,
2018/11/09 9:24:45 AM CET,HH,eibar,,urkizu eskola,D,D,,B2,Ez dut,Ez dut,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,Ez dagokio,,
2018/11/09 9:24:53 AM CET,HH,Barakaldon,,Paules Barakaldo,A,A,"Unibertsitatean, euskaraz ikasteko nire gustokoa delako",Ez dut,Ez dut,B2,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Lanean,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2018/11/23 10:55:07 AM CET,LH,Barakaldo,,"San Vicente de Paúl, Barakaldo",B,A,Batxillergoan eskolak B eredutik A eredura pasatzen da.,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin;Lanean,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2018/11/23 10:55:52 AM CET,LH,Berrizen,,Learreta Markina eskolan,D,D,,B2,B2,B2,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri,Ez dagokio,,
2018/11/23 10:59:00 AM CET,LH,Leioan,,Askartzan,D,D,,B2,Ez dut,B2,Ez dut,,Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2018/11/23 11:30:42 AM CET,HH,Bilbon,,La Salle Ikastetxean,B,D,"Batxillergoan, nire etorkizunerako funtsezkoa zelako.",B2,Ez dut,B2,B1,Frantsesa,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ikasketetan;Ikasketetako lagunekin,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi,Frantsesa,
2018/11/23 1:04:56 PM CET,LH,Barakaldo,,Alkartu Ikastola,D,D,,C1,C1,B1,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Eztabaidatu,Ez dagokio,,
2018/11/30 12:24:26 PM CET,HH,Durangon,,Landako,D,D,,B2,B2,C1,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Lanean,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2019/09/09 8:41:03 AM CET,Minorrekoa (HH zein LH),Portugaleten,2011,Santa Maria Ikastetxea,D,D,,Ez dut,Ez dut,Ez dut,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2019/09/09 8:44:29 AM CET,LH 3,Karrantza Harana,2011,Kontxa Eskola,D,A,Batxilergoan euskaraz ez zutelako irakasten.,Ez dut,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ikasketetan;Ikasketetako lagunekin,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2019/09/09 10:40:50 AM CET,LH 3,Ortuella,2011,San Felix Ikastetxea,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin;Lanean,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2019/09/09 2:26:18 PM CET,LH 3,Mungian,2011,Larramendi Ikastolan,D,D,,C1,Ez dut,B2,Ez dut,,Familian;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Negoziatu,,
2019/09/09 2:30:02 PM CET,LH 3,Eibar,2006,La Salle ,B,A,"Batxilergoan, matematikak gazteleraz egin ahal izateko.",B2,B2,B2,A1,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan,Familian;Herriko / auzoko lagunekin,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Aurkezpena egin;Eztabaidatu;Negoziatu,Arabiera ,
2019/09/09 7:11:08 PM CET,LH 3,Durango,2011,Kurutziaga Ikastola,D,D,,B1,B1,B1,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2019/09/09 7:31:58 PM CET,LH 3,Mungian,2011,Bentades Ikastetxean,D,D,,Ez dut,Ez dut,Ez dut,Ez dut,,Familian;Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2019/09/09 7:53:09 PM CET,LH 3,Laudio,2006,Lamuza Eskolan,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2019/09/09 8:49:48 PM CET,LH 3,Mungian,2011,CEIP Legarda HLHI,D,D,,C1,Ez dut,B2,Ez dut,,Familian;Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ez dut ia erabiltzen,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2019/09/09 9:00:09 PM CET,LH 3,Zamudion,2011,Zamudioko eskolan,D,D,,B2,B2,C1,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ikasketetan;Ikasketetako lagunekin,Ikasketetan,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Irakurri;Idatzi,Frantzezean irakurri eta ulertzeko gaitasuna dut. Idazten gutxi gora behera. ,
2019/09/10 10:55:34 PM CET,LH 3,Bermeo,2011,Eleizalde Ikastola,D,D,,C1,Ez dut,Ez dut,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan,Ikasketetako lagunekin,Ikasketetan,Ez dut ia erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
